course,category,institution,type,skills,personality,inclination
Oil Painting,"Arts, Design & Visual Arts",Post secondary,Enrichment Course,"AI/ML, Artistic Expression, Creativity, Data Analysis, Mathematical Modeling, Observation, Research, Visual Arts",Openness,Artistic
Watercolor Painting,"Arts, Design & Visual Arts",Post secondary,Enrichment Course,"AI/ML, Artistic Expression, Creativity, Data Analysis, Mathematical Modeling, Observation, Research, Visual Arts",Openness,Artistic
Acrylic Painting,"Arts, Design & Visual Arts",Post secondary,Enrichment Course,"AI/ML, Artistic Expression, Creativity, Data Analysis, Mathematical Modeling, Observation, Research, Visual Arts",Openness,Artistic
Chinese Calligraphy,"Arts, Design & Visual Arts",Post secondary,Enrichment Course,"Communication, Cultural Awareness, Language Proficiency, Writing",Openness,Artistic
Pottery & Ceramics,"Arts, Design & Visual Arts",Post secondary,Enrichment Course,"Artistic Expression, Creativity, Innovation",Openness,Artistic
Sculpture,"Arts, Design & Visual Arts",Post secondary,Enrichment Course,"Artistic Expression, Creativity, Observation, Visual Arts",Openness,Artistic
Digital Art,Computing & IT,Post secondary,Enrichment Course,"Artistic Expression, Creativity, Observation, Visual Arts",Openness,Artistic
Comic Drawing,"Arts, Design & Visual Arts",Post secondary,Enrichment Course,"Artistic Expression, Creativity, Observation, Visual Arts",Openness,Artistic
Manga Drawing,"Arts, Design & Visual Arts",Post secondary,Enrichment Course,"Artistic Expression, Creativity, Observation, Visual Arts",Openness,Artistic
Ballet,Performing Arts & Music,Post secondary,Enrichment Course,"Artistic Expression, Dance, Performance, Physical Coordination",Openness,Artistic
Contemporary Dance,Performing Arts & Music,Post secondary,Enrichment Course,"Artistic Expression, Dance, Performance, Physical Coordination",Openness,Artistic
Hip Hop Dance,Performing Arts & Music,Post secondary,Enrichment Course,"Artistic Expression, Dance, Performance, Physical Coordination",Openness,Artistic
Jazz Dance,Performing Arts & Music,Post secondary,Enrichment Course,"Artistic Expression, Dance, Performance, Physical Coordination",Openness,Artistic
Chinese Dance,Performing Arts & Music,Post secondary,Enrichment Course,"Artistic Expression, Communication, Cultural Awareness, Dance, Language Proficiency, Performance, Physical Coordination, Writing",Openness,Artistic
Indian Classical Dance,Performing Arts & Music,Post secondary,Enrichment Course,"Artistic Expression, Dance, Performance, Physical Coordination",Openness,Artistic
K-Pop Dance,Performing Arts & Music,Post secondary,Enrichment Course,"Artistic Expression, Dance, Performance, Physical Coordination",Openness,Artistic
Ballroom Dance,Performing Arts & Music,Post secondary,Enrichment Course,"Artistic Expression, Dance, Performance, Physical Coordination",Openness,Artistic
Swimming Lessons,Sports & Physical Education,Post secondary,Enrichment Course,"Coordination, Discipline, Physical Fitness, Teamwork",Agreeableness,Social
Tennis Coaching,Sports & Physical Education,Post secondary,Enrichment Course,"Coordination, Discipline, Physical Fitness, Teamwork",Agreeableness,Social
Badminton Training,Sports & Physical Education,Post secondary,Enrichment Course,"AI/ML, Coordination, Data Analysis, Discipline, Mathematical Modeling, Physical Fitness, Research, Teamwork",Agreeableness,Social
Football Training,Sports & Physical Education,Post secondary,Enrichment Course,"AI/ML, Coordination, Data Analysis, Discipline, Mathematical Modeling, Physical Fitness, Research, Teamwork",Extraversion,Social
Basketball Training,Sports & Physical Education,Post secondary,Enrichment Course,"AI/ML, Coordination, Data Analysis, Discipline, Mathematical Modeling, Physical Fitness, Research, Teamwork",Extraversion,Social
Martial Arts (Various),Sports & Physical Education,Post secondary,Enrichment Course,"Artistic Expression, Creativity, Discipline, Martial Arts, Observation, Physical Fitness, Self-Control, Visual Arts",Openness,Artistic
Yoga Classes,Sports & Physical Education,Post secondary,Enrichment Course,"Discipline, Physical Fitness, Teamwork",Agreeableness,Social
Pilates,Sports & Physical Education,Post secondary,Enrichment Course,"Discipline, Physical Fitness, Teamwork",Agreeableness,Social
Personal Trainer Certification,Sports & Physical Education,Post secondary,Enrichment Course,"AI/ML, Data Analysis, Mathematical Modeling, Research",Agreeableness,Social
Sports Coaching Certification,Sports & Physical Education,Post secondary,Enrichment Course,"Coordination, Discipline, Physical Fitness, Teamwork",Agreeableness,Social
Life Saving Certification,Sports & Physical Education,Post secondary,Enrichment Course,"Discipline, Physical Fitness, Teamwork",Agreeableness,Social
Korean Language (TOPIK Prep),Languages & Literature,Post secondary,Enrichment Course,"Communication, Cultural Awareness, Language Proficiency, Writing",Openness,Artistic
Japanese Language (JLPT Prep),Languages & Literature,Post secondary,Enrichment Course,"Communication, Cultural Awareness, Language Proficiency, Writing",Openness,Artistic
French Language (DELF Prep),Languages & Literature,Post secondary,Enrichment Course,"Communication, Cultural Awareness, Language Proficiency, Writing",Openness,Artistic
German Language,Languages & Literature,Post secondary,Enrichment Course,"Communication, Cultural Awareness, Language Proficiency, Writing",Openness,Artistic
Spanish Language,Languages & Literature,Post secondary,Enrichment Course,"Communication, Cultural Awareness, Language Proficiency, Writing",Openness,Artistic
Sign Language,Languages & Literature,Post secondary,Enrichment Course,"Communication, Cultural Awareness, Language Proficiency, Writing",Openness,Artistic
Business English,Languages & Literature,Post secondary,Enrichment Course,"Business Management, Communication, Cultural Awareness, Decision Making, Language Proficiency, Leadership, Strategic Planning, Writing",Openness,Enterprising
English Communication,Languages & Literature,Post secondary,Enrichment Course,"Communication, Cultural Awareness, Language Proficiency, Media Production, Research, Writing",Extraversion,Artistic
Chinese Enrichment,Languages & Literature,Post secondary,Enrichment Course,"Communication, Cultural Awareness, Language Proficiency, Writing",Openness,Artistic
Malay Language,Languages & Literature,Post secondary,Enrichment Course,"Communication, Cultural Awareness, Language Proficiency, Writing",Openness,Artistic
Baking Fundamentals,"Food, Nutrition & Culinary Arts",Post secondary,Enrichment Course,"Attention to Detail, Creativity, Culinary Skills, Time Management",Openness,Artistic
Sourdough Bread Making,"Food, Nutrition & Culinary Arts",Post secondary,Enrichment Course,"Artistic Expression, Creativity, Innovation",Openness,Artistic
Pastry Making,"Food, Nutrition & Culinary Arts",Post secondary,Enrichment Course,"Attention to Detail, Creativity, Culinary Skills, Time Management",Openness,Artistic
Cake Decorating,"Food, Nutrition & Culinary Arts",Post secondary,Enrichment Course,"Artistic Expression, Creativity, Innovation",Openness,Artistic
Barista Skills & Latte Art,"Food, Nutrition & Culinary Arts",Post secondary,Enrichment Course,"Artistic Expression, Creativity, Observation, Visual Arts",Openness,Artistic
Wine Appreciation,"Food, Nutrition & Culinary Arts",Post secondary,Enrichment Course,"Algorithm Design, Logical Thinking, Problem Solving, Programming",Openness,Artistic
Cooking (Western),"Food, Nutrition & Culinary Arts",Post secondary,Enrichment Course,"Attention to Detail, Creativity, Culinary Skills, Time Management",Openness,Artistic
Cooking (Asian),"Food, Nutrition & Culinary Arts",Post secondary,Enrichment Course,"Attention to Detail, Creativity, Culinary Skills, Time Management",Openness,Artistic
Cooking (Chinese),"Food, Nutrition & Culinary Arts",Post secondary,Enrichment Course,"Attention to Detail, Communication, Creativity, Culinary Skills, Cultural Awareness, Language Proficiency, Time Management, Writing",Openness,Artistic
Food Hygiene (WSQ),"Food, Nutrition & Culinary Arts",Post secondary,Enrichment Course,"Attention to Detail, Creativity, Culinary Skills, Time Management",Openness,Artistic
Food Safety Management,"Food, Nutrition & Culinary Arts",Post secondary,Enrichment Course,"Attention to Detail, Business Management, Creativity, Culinary Skills, Decision Making, Leadership, Strategic Planning, Time Management",Openness,Artistic
Robotics for Kids,Computing & IT,Post secondary,Enrichment Course,"Automation, Engineering, Problem Solving, Programming, Robotics, Systems Integration",Conscientiousness,Realistic
Coding for Kids (Scratch),Computing & IT,Post secondary,Enrichment Course,"Algorithm Design, Logical Thinking, Problem Solving, Programming",Conscientiousness,Investigative
Python Programming,Computing & IT,Post secondary,Enrichment Course,"Algorithm Design, Logical Thinking, Problem Solving, Programming",Conscientiousness,Investigative
Web Development,Computing & IT,Post secondary,Enrichment Course,"Algorithm Design, Logical Thinking, Problem Solving, Programming",Conscientiousness,Investigative
App Development,Computing & IT,Post secondary,Enrichment Course,"Algorithm Design, Logical Thinking, Problem Solving, Programming",Conscientiousness,Investigative
Game Design,Computing & IT,Post secondary,Enrichment Course,"Attention to Detail, CAD Design, Creativity, Design Thinking, Software Proficiency, Spatial Reasoning, Technical Drawing, Visual Communication",Openness,Artistic
Arduino Projects,Computing & IT,Post secondary,Enrichment Course,"Logical Thinking, Problem Solving, Technical Skills",Conscientiousness,Investigative
LEGO Robotics,Computing & IT,Post secondary,Enrichment Course,"Automation, Engineering, Problem Solving, Programming, Robotics, Systems Integration",Conscientiousness,Realistic
3D Printing,Computing & IT,Post secondary,Enrichment Course,"Logical Thinking, Problem Solving, Technical Skills",Conscientiousness,Investigative
Drone Flying,Computing & IT,Post secondary,Enrichment Course,"Logical Thinking, Problem Solving, Technical Skills",Conscientiousness,Investigative
English Tuition (Primary),Academic Tuition,Post secondary,Enrichment Course,"Academic Skills, Communication, Conceptual Understanding, Cultural Awareness, Language Proficiency, Problem Solving, Writing",Openness,Investigative
English Tuition (Secondary),Academic Tuition,Post secondary,Enrichment Course,"Academic Skills, Communication, Conceptual Understanding, Cultural Awareness, Language Proficiency, Problem Solving, Writing",Openness,Investigative
Mathematics Tuition (Primary),Academic Tuition,Post secondary,Enrichment Course,"Academic Skills, Analytical Thinking, Conceptual Understanding, Mathematical Reasoning, Problem Solving, Quantitative Analysis",Conscientiousness,Investigative
Mathematics Tuition (Secondary),Academic Tuition,Post secondary,Enrichment Course,"Academic Skills, Analytical Thinking, Conceptual Understanding, Mathematical Reasoning, Problem Solving, Quantitative Analysis",Conscientiousness,Investigative
Science Tuition (Primary),Academic Tuition,Post secondary,Enrichment Course,"Academic Skills, Analytical Thinking, Conceptual Understanding, Observation, Problem Solving, Research, Scientific Method",Openness,Investigative
Science Tuition (Secondary),Academic Tuition,Post secondary,Enrichment Course,"Academic Skills, Analytical Thinking, Conceptual Understanding, Observation, Problem Solving, Research, Scientific Method",Openness,Investigative
Chinese Tuition,Academic Tuition,Post secondary,Enrichment Course,"Academic Skills, Communication, Conceptual Understanding, Cultural Awareness, Language Proficiency, Problem Solving, Writing",Openness,Investigative
Higher Chinese Tuition,Academic Tuition,Post secondary,Enrichment Course,"Academic Skills, Communication, Conceptual Understanding, Cultural Awareness, Language Proficiency, Problem Solving, Writing",Openness,Investigative
Physics Tuition,Academic Tuition,Post secondary,Enrichment Course,"Academic Skills, Conceptual Understanding, Mathematical Analysis, Physics, Problem Solving, Scientific Method",Conscientiousness,Investigative
Chemistry Tuition,Academic Tuition,Post secondary,Enrichment Course,"Academic Skills, Analytical Skills, Chemistry, Conceptual Understanding, Laboratory Skills, Problem Solving, Scientific Method",Conscientiousness,Investigative
Biology Tuition,Academic Tuition,Post secondary,Enrichment Course,"Academic Skills, Biology, Conceptual Understanding, Laboratory Skills, Problem Solving, Research, Scientific Method",Openness,Investigative
Additional Mathematics Tuition,Academic Tuition,Post secondary,Enrichment Course,"Academic Skills, Analytical Thinking, Conceptual Understanding, Mathematical Reasoning, Problem Solving, Quantitative Analysis",Conscientiousness,Investigative
Economics Tuition,Academic Tuition,Post secondary,Enrichment Course,"Academic Skills, Conceptual Understanding, Critical Thinking, Data Interpretation, Economic Analysis, Problem Solving, Research",Openness,Investigative
Accounting Tuition,Academic Tuition,Post secondary,Enrichment Course,"Academic Skills, Accounting, Attention to Detail, Conceptual Understanding, Financial Analysis, Numerical Skills, Problem Solving",Conscientiousness,Conventional
A-Level GP Tuition,Academic Tuition,Post secondary,Enrichment Course,"Academic Skills, Conceptual Understanding, Problem Solving",Openness,Investigative
Speech & Drama,Performing Arts & Music,Post secondary,Enrichment Course,"Acting, Creativity, Performance, Public Speaking",Openness,Artistic
Public Speaking,Personal Development,Post secondary,Enrichment Course,"Communication, Confidence, Interpersonal Skills, Leadership",Extraversion,Investigative
Debate Training,Clubs & Societies,Post secondary,Enrichment Course,"AI/ML, Argumentation, Critical Thinking, Data Analysis, Mathematical Modeling, Public Speaking, Research",Extraversion,Social
Theatre Arts,"Arts, Design & Visual Arts",Post secondary,Enrichment Course,"Acting, Artistic Expression, Creativity, Observation, Performance, Public Speaking, Visual Arts",Openness,Artistic
Voice Acting,Performing Arts & Music,Post secondary,Enrichment Course,"Acting, Creativity, Performance, Public Speaking",Openness,Artistic
Musical Theatre,Performing Arts & Music,Post secondary,Enrichment Course,"Acting, Coordination, Creativity, Discipline, Musical Skills, Performance, Public Speaking",Openness,Artistic
Magic & Illusion,Personal Development,Post secondary,Enrichment Course,"Adaptability, Critical Thinking, Learning",Openness,Investigative
Leadership Skills,Personal Development,Post secondary,Enrichment Course,"Communication, Confidence, Interpersonal Skills, Leadership",Extraversion,Enterprising
Communication Skills,Personal Development,Post secondary,Enrichment Course,"Communication, Confidence, Interpersonal Skills, Leadership, Media Production, Research, Writing",Extraversion,Investigative
Creative Writing,Personal Development,Post secondary,Enrichment Course,"Analytical Skills, Creativity, Critical Thinking, Writing",Openness,Artistic
Critical Thinking,Personal Development,Post secondary,Enrichment Course,"Analytical Skills, Creativity, Critical Thinking, Writing",Openness,Investigative
Memory Training,Personal Development,Post secondary,Enrichment Course,"AI/ML, Analytical Skills, Creativity, Critical Thinking, Data Analysis, Mathematical Modeling, Research, Writing",Openness,Investigative
Speed Reading,Personal Development,Post secondary,Enrichment Course,"Adaptability, Critical Thinking, Learning",Openness,Investigative
Study Skills Workshop,Personal Development,Post secondary,Enrichment Course,"Adaptability, Critical Thinking, Learning",Openness,Investigative
Time Management,Personal Development,Post secondary,Enrichment Course,"Business Management, Decision Making, Leadership, Strategic Planning",Openness,Enterprising
Financial Literacy for Teens,Personal Development,Post secondary,Enrichment Course,"Adaptability, Critical Thinking, Learning",Openness,Investigative
Hiking,Activity,,,"Adventure, Navigation, Outdoor Skills, Physical Fitness",Openness,Realistic
Running,Activity,,,"Discipline, Endurance, Goal Setting, Physical Fitness",Openness,Realistic
Bird Watching,Activity,,,"Nature Knowledge, Observation, Patience, Photography",Openness,Realistic
Bird Singing,Activity,,,"Nature Knowledge, Observation, Patience, Photography",Openness,Artistic
Kite Flying,Activity,,,"Observation, Outdoor Skills, Patience",Openness,Realistic
Stargazing,Activity,,,"Observation, Outdoor Skills, Patience",Openness,Realistic
Urban Farming,Activity,,,"Attention to Detail, Nurturing, Patience, Plant Care",Openness,Realistic
Gardening,Activity,,,"Attention to Detail, Nurturing, Patience, Plant Care",Agreeableness,Realistic
Bonsai Growing,Activity,,,"Attention to Detail, Nurturing, Patience, Plant Care",Openness,Investigative
Terrariums,Activity,,,"Attention to Detail, Nurturing, Patience, Plant Care",Openness,Realistic
Ant Keeping,Activity,,,"Animal Care, Ecosystem Management, Observation, Patience",Openness,Realistic
Aquascaping,Activity,,,"Animal Care, Ecosystem Management, Observation, Patience",Openness,Realistic
Urban Exploration,Activity,,,"Adventure, Navigation, Outdoor Skills, Physical Fitness",Openness,Realistic
Geocaching,Activity,,,"Adventure, Navigation, Outdoor Skills, Physical Fitness",Openness,Realistic
Camping,Activity,,,"Adventure, Navigation, Outdoor Skills, Physical Fitness",Openness,Realistic
Beach Combing,Activity,,,"Nature Appreciation, Observation, Patience",Openness,Realistic
Nature Photography,Activity,,,"Nature Knowledge, Observation, Patience, Photography",Openness,Artistic
Swimming,Activity,,,"Coordination, Endurance, Physical Fitness, Water Safety",Openness,Realistic
Kayaking,Activity,,,"Balance, Coordination, Physical Fitness, Teamwork",Openness,Realistic
Dragon Boating,Activity,,,"Balance, Coordination, Physical Fitness, Teamwork",Conscientiousness,Realistic
Paddleboarding,Activity,,,"Balance, Coordination, Physical Fitness, Teamwork",Openness,Realistic
Surfing,Activity,,,"Balance, Coordination, Physical Fitness, Risk Management",Openness,Realistic
Wakeboarding,Activity,,,"Balance, Coordination, Physical Fitness, Risk Management",Openness,Realistic
Jet Skiing,Activity,,,"Balance, Coordination, Physical Fitness, Risk Management",Openness,Realistic
Sailing,Activity,,,"Coordination, Navigation, Problem Solving, Weather Reading",Openness,Investigative
Windsurfing,Activity,,,"Balance, Coordination, Physical Fitness, Risk Management",Openness,Realistic
Snorkeling,Activity,,,"Observation, Patience, Technical Skills, Water Safety",Openness,Realistic
Scuba Diving,Activity,,,"Observation, Patience, Technical Skills, Water Safety",Openness,Realistic
Prawning,Activity,,,"Observation, Outdoor Skills, Patience",Openness,Realistic
Fishing,Activity,,,"Observation, Outdoor Skills, Patience",Openness,Realistic
Underwater Photography,Activity,,,"Observation, Patience, Technical Skills, Water Safety",Openness,Artistic
Cycling,Activity,,,"Agility, Balance, Coordination, Physical Fitness",Openness,Realistic
Skateboarding,Activity,,,"Agility, Balance, Coordination, Physical Fitness",Openness,Realistic
Roller Skating,Activity,,,"Agility, Balance, Coordination, Physical Fitness",Openness,Realistic
Tennis,Activity,,,"Agility, Hand-Eye Coordination, Physical Fitness, Strategy",Openness,Realistic
Badminton,Activity,,,"Agility, Hand-Eye Coordination, Physical Fitness, Strategy",Openness,Realistic
Table Tennis,Activity,,,"Agility, Hand-Eye Coordination, Physical Fitness, Strategy",Openness,Realistic
Squash,Activity,,,"Agility, Hand-Eye Coordination, Physical Fitness, Strategy",Openness,Realistic
Pickleball,Activity,,,"Agility, Hand-Eye Coordination, Physical Fitness, Strategy",Openness,Realistic
Basketball,Activity,,,"Coordination, Physical Fitness, Strategy, Teamwork",Extraversion,Realistic
Football,Activity,,,"Coordination, Physical Fitness, Strategy, Teamwork",Extraversion,Realistic
Rugby,Activity,,,"Coordination, Physical Fitness, Strategy, Teamwork",Openness,Realistic
Netball,Activity,,,"Coordination, Physical Fitness, Strategy, Teamwork",Openness,Realistic
Volleyball,Activity,,,"Coordination, Physical Fitness, Strategy, Teamwork",Extraversion,Realistic
Frisbee,Activity,,,"Hand-Eye Coordination, Physical Fitness, Teamwork",Openness,Realistic
Golf,Activity,,,"Focus, Patience, Precision, Strategic Thinking",Conscientiousness,Realistic
Bowling,Activity,,,"Focus, Hand-Eye Coordination, Precision",Openness,Realistic
Cricket,Activity,,,"Hand-Eye Coordination, Physical Fitness, Strategy, Teamwork",Openness,Realistic
Hockey,Activity,,,"Coordination, Physical Fitness, Strategy, Teamwork",Openness,Realistic
Ice Skating,Activity,,,"Agility, Balance, Coordination, Physical Fitness",Openness,Realistic
Boxing,Activity,,,"Discipline, Mental Toughness, Physical Fitness, Self-Defense",Openness,Realistic
Muay Thai,Activity,,,"Discipline, Mental Toughness, Physical Fitness, Self-Defense",Openness,Investigative
Mixed Martial Arts,Activity,,,"Discipline, Mental Toughness, Physical Fitness, Self-Defense",Openness,Artistic
Brazilian Jiu-Jitsu,Activity,,,"Discipline, Martial Arts, Physical Fitness, Self-Control",Openness,Realistic
Karate,Activity,,,"Discipline, Martial Arts, Physical Fitness, Self-Control",Openness,Realistic
Wushu,Activity,,,"Discipline, Martial Arts, Physical Fitness, Self-Control",Openness,Realistic
Tai Chi,Activity,,,"Balance, Body Awareness, Mindfulness, Relaxation",Neuroticism,Investigative
Silat,Activity,,,"Discipline, Martial Arts, Physical Fitness, Self-Control",Openness,Realistic
Fencing,Activity,,,"Agility, Focus, Quick Reflexes, Strategy",Openness,Realistic
Archery,Activity,,,"Focus, Hand-Eye Coordination, Patience, Precision",Openness,Realistic
Axe Throwing,Activity,,,"Focus, Hand-Eye Coordination, Patience, Precision",Openness,Realistic
Rock Climbing,Activity,,,"Physical Fitness, Problem Solving, Risk Management, Strategy",Openness,Realistic
Parkour,Activity,,,"Agility, Courage, Physical Fitness, Spatial Awareness",Openness,Realistic
Indoor Skydiving,Activity,,,"Adventure, Courage, Risk Management, Thrill Seeking",Openness,Realistic
Bungee Jumping,Activity,,,"Adventure, Courage, Risk Management, Thrill Seeking",Openness,Realistic
Ziplining,Activity,,,"Adventure, Courage, Risk Management, Thrill Seeking",Openness,Realistic
Trampoline Parks,Activity,,,"Physical Fitness, Quick Reflexes, Strategy, Teamwork",Openness,Realistic
Laser Tag,Activity,,,"Physical Fitness, Quick Reflexes, Strategy, Teamwork",Openness,Realistic
Paintball,Activity,,,"Physical Fitness, Quick Reflexes, Strategy, Teamwork",Openness,Investigative
Airsoft,Activity,,,"Physical Fitness, Quick Reflexes, Strategy, Teamwork",Openness,Investigative
Gym Training,Activity,,,"Discipline, Goal Setting, Physical Fitness, Strength",Conscientiousness,Investigative
CrossFit,Activity,,,"Discipline, Goal Setting, Physical Fitness, Strength",Openness,Realistic
Calisthenics,Activity,,,"Discipline, Goal Setting, Physical Fitness, Strength",Openness,Realistic
HIIT,Activity,,,"Discipline, Goal Setting, Physical Fitness, Strength",Openness,Realistic
Spin Classes,Activity,,,"Coordination, Endurance, Physical Fitness, Rhythm",Openness,Realistic
Zumba,Activity,,,"Coordination, Endurance, Physical Fitness, Rhythm",Openness,Realistic
Pilates,Activity,,,"Body Awareness, Core Strength, Flexibility, Precision",Openness,Realistic
Yoga,Activity,,,"Balance, Body Awareness, Flexibility, Mindfulness",Neuroticism,Realistic
Meditation,Activity,,,"Mental Clarity, Mindfulness, Self-Awareness, Stress Management",Neuroticism,Realistic
Qigong,Activity,,,"Balance, Body Awareness, Mindfulness, Relaxation",Conscientiousness,Realistic
Pole Fitness,Activity,,,"Confidence, Coordination, Flexibility, Strength",Conscientiousness,Realistic
TRX Training,Activity,,,"Discipline, Goal Setting, Physical Fitness, Strength",Openness,Investigative
Painting,Activity,,,"Artistic Expression, Creativity, Observation, Visual Arts",Openness,Artistic
Drawing,Activity,,,"Artistic Expression, Creativity, Observation, Visual Arts",Openness,Artistic
Digital Art,Activity,,,"Artistic Expression, Creativity, Observation, Visual Arts",Openness,Artistic
Graphic Design,Activity,,,"Creativity, Design Thinking, Software Proficiency, Visual Communication",Openness,Artistic
Calligraphy,Activity,,,"Artistic Expression, Fine Motor Skills, Patience, Precision",Openness,Artistic
Graffiti,Activity,,,"Artistic Expression, Creativity, Observation, Visual Arts",Openness,Realistic
Pottery,Activity,,,"Artistic Expression, Creativity, Hand-Eye Coordination, Patience",Openness,Artistic
Sculpture,Activity,,,"Artistic Expression, Creativity, Hand-Eye Coordination, Patience",Openness,Artistic
Origami,Activity,,,"Attention to Detail, Patience, Precision, Spatial Reasoning",Openness,Artistic
Collage,Activity,,,"Artistic Expression, Creativity, Technical Skills",Openness,Realistic
Resin Art,Activity,,,"Artistic Expression, Creativity, Technical Skills",Openness,Artistic
Embroidery,Activity,,,"Attention to Detail, Creativity, Fine Motor Skills, Patience",Openness,Realistic
Knitting,Activity,,,"Attention to Detail, Creativity, Fine Motor Skills, Patience",Openness,Realistic
Macramé,Activity,,,"Attention to Detail, Creativity, Fine Motor Skills, Patience",Openness,Realistic
Rug Tufting,Activity,,,"Craftsmanship, Creativity, Manual Dexterity, Patience",Openness,Realistic
Batik,Activity,,,"Craftsmanship, Creativity, Manual Dexterity, Patience",Openness,Realistic
Printmaking,Activity,,,"Artistic Expression, Creativity, Technical Skills",Openness,Realistic
Leather Crafting,Activity,,,"Craftsmanship, Creativity, Manual Dexterity, Patience",Openness,Realistic
Piano,Activity,,,"Coordination, Discipline, Musical Skills, Practice",Openness,Realistic
Guitar,Activity,,,"Coordination, Discipline, Musical Skills, Practice",Openness,Realistic
String Instruments,Activity,,,"Coordination, Discipline, Musical Skills, Practice",Openness,Realistic
Wind Instruments,Activity,,,"Coordination, Discipline, Musical Skills, Practice",Openness,Realistic
Drums,Activity,,,"Coordination, Discipline, Musical Skills, Practice",Openness,Realistic
Singing,Activity,,,"Breath Control, Confidence, Musical Expression, Vocal Skills",Openness,Artistic
Beatboxing,Activity,,,"Discipline, Mental Toughness, Physical Fitness, Self-Defense",Openness,Artistic
Music Composition,Activity,,,"Creativity, Musical Knowledge, Software Proficiency, Technical Skills",Openness,Artistic
Music Production,Activity,,,"Creativity, Musical Knowledge, Software Proficiency, Technical Skills",Openness,Artistic
DJing,Activity,,,"Crowd Reading, Musical Knowledge, Technical Skills, Timing",Openness,Artistic
Audio Engineering,Activity,,,"Creativity, Musical Knowledge, Software Proficiency, Technical Skills",Conscientiousness,Realistic
Jamming,Activity,,,"Collaboration, Improvisation, Listening, Musical Skills",Openness,Realistic
Ballet,Activity,,,"Artistic Expression, Coordination, Physical Fitness, Rhythm",Openness,Realistic
Contemporary Dance,Activity,,,"Artistic Expression, Coordination, Physical Fitness, Rhythm",Openness,Artistic
Jazz Dance,Activity,,,"Artistic Expression, Coordination, Physical Fitness, Rhythm",Openness,Artistic
Hip Hop,Activity,,,"Coordination, Creativity, Physical Fitness, Rhythm",Openness,Realistic
Breaking,Activity,,,"Coordination, Creativity, Physical Fitness, Rhythm",Openness,Realistic
Latin Dance,Activity,,,"Coordination, Cultural Awareness, Partnership, Rhythm",Openness,Artistic
Ballroom Dance,Activity,,,"Artistic Expression, Coordination, Physical Fitness, Rhythm",Openness,Artistic
Swing Dance,Activity,,,"Coordination, Cultural Awareness, Partnership, Rhythm",Openness,Artistic
K-Pop Dance,Activity,,,"Coordination, Creativity, Physical Fitness, Rhythm",Openness,Artistic
Bollywood Dance,Activity,,,"Coordination, Cultural Awareness, Partnership, Rhythm",Openness,Artistic
Traditional Dance,Activity,,,"Coordination, Cultural Knowledge, Discipline, Teamwork",Openness,Artistic
Lion Dance,Activity,,,"Coordination, Cultural Knowledge, Discipline, Teamwork",Openness,Artistic
Pole Dancing,Activity,,,"Confidence, Coordination, Flexibility, Strength",Openness,Realistic
Acting,Activity,,,"Confidence, Creativity, Emotional Expression, Performance",Openness,Artistic
Comedy,Activity,,,"Confidence, Humor, Public Speaking, Timing",Extraversion,Realistic
Musical Theatre,Activity,,,"Acting, Coordination, Musical Skills, Performance",Openness,Artistic
Stage Direction,Activity,,,"Communication, Creativity, Leadership, Organization",Openness,Realistic
Magic,Activity,,,"Dexterity, Entertainment, Performance, Practice",Openness,Realistic
Juggling,Activity,,,"Dexterity, Entertainment, Performance, Practice",Openness,Realistic
Circus Arts,Activity,,,"Dexterity, Entertainment, Performance, Practice",Openness,Artistic
Puppetry,Activity,,,"Creativity, Manual Dexterity, Performance, Storytelling",Openness,Realistic
Public Speaking,Activity,,,"Articulation, Communication, Confidence, Persuasion",Extraversion,Social
Debate,Activity,,,"Argumentation, Critical Thinking, Public Speaking, Research",Extraversion,Enterprising
3D Printing,Activity,,,"Design Thinking, Precision, Problem Solving, Technical Skills",Openness,Realistic
Laser Cutting,Activity,,,"Design Thinking, Precision, Problem Solving, Technical Skills",Openness,Realistic
Electronics,Activity,,,"Circuit Design, Problem Solving, Technical Knowledge, Troubleshooting",Conscientiousness,Investigative
Robotics,Activity,,,"Engineering, Problem Solving, Programming, Systems Integration",Openness,Investigative
Drones,Activity,,,"Coordination, Photography, Spatial Awareness, Technical Skills",Openness,Realistic
RC Vehicles,Activity,,,"Attention to Detail, Manual Dexterity, Patience, Technical Skills",Openness,Realistic
Model Building,Activity,,,"Attention to Detail, Manual Dexterity, Patience, Technical Skills",Conscientiousness,Realistic
Programming,Activity,,,"Logical Thinking, Patience, Problem Solving, Programming",Conscientiousness,Investigative
Game Development,Activity,,,"Creativity, Design Thinking, Programming, Technical Skills",Openness,Realistic
Cybersecurity,Activity,,,"Analytical Thinking, Problem Solving, Security, Technical Knowledge",Conscientiousness,Investigative
AI & Machine Learning,Activity,,,"Data Analysis, Mathematical Thinking, Problem Solving, Programming",Openness,Investigative
Animation,Activity,,,"Creativity, Software Proficiency, Storytelling, Technical Skills",Openness,Artistic
Video Editing,Activity,,,"Attention to Detail, Creativity, Storytelling, Technical Skills",Openness,Realistic
Video Gaming,Activity,,,"Focus, Hand-Eye Coordination, Problem Solving, Strategy",Openness,Realistic
Board Gaming,Activity,,,"Critical Thinking, Planning, Social Skills, Strategy",Openness,Realistic
Tabletop RPGs,Activity,,,"Critical Thinking, Planning, Social Skills, Strategy",Openness,Realistic
